Date,Close,High,Low,Open,Volume,Daily_Return,Price_Range,Price_Change,Volume_MA7,Close_MA7,Close_MA30
2002-05-24,1.210000038,1.225000024,1.197142959,1.21428597,11104800,,0.02785706500000007,-0.004285931999999937,,,
2002-05-28,1.157142997,1.232143044,1.157142997,1.213570952,6609400,-0.043683503586799066,0.07500004700000007,-0.056427954999999974,,,
2002-05-29,1.103571057,1.164286017,1.085713983,1.164286017,6757800,-0.04629673267598755,0.07857203400000001,-0.060714960000000096,,,
2002-05-30,1.071429014,1.107856989,1.071429014,1.107856989,10154200,-0.02912548566412787,0.03642797500000006,-0.03642797500000006,,,
2002-05-31,1.076429009,1.078570962,1.071429014,1.078570962,8464400,0.004666660072358164,0.007141947999999898,-0.0021419529999999742,,,
2002-06-03,1.128571033,1.149286032,1.076429009,1.080000043,3151400,0.04843981680542031,0.07285702300000008,0.04857098999999998,,,
2002-06-04,1.117856979,1.139999986,1.110713959,1.135714054,3105200,-0.00949346889714131,0.02928602700000016,-0.017857075,7049600.0,1.1235714467142857,
2002-06-05,1.147143006,1.159286022,1.107143044,1.110713959,1531600,0.026198366651696725,0.052142978000000006,0.03642904700000016,5682000.0,1.1145918707142857,
2002-06-06,1.182142973,1.232143044,1.148571014,1.149999976,2305800,0.03051055257882984,0.08357203000000002,0.032142997000000006,5067200.0,1.1181632958571428,
2002-06-07,1.118571043,1.177857041,1.103571057,1.177857041,1369200,-0.053776853944044856,0.07428598400000008,-0.059285998000000006,4297400.0,1.120306151,
2002-06-10,1.156429052,1.174999952,1.134286046,1.13499999,484400,0.03384497501246342,0.04071390600000013,0.021429061999999943,2916000.0,1.1324490135714285,
2002-06-11,1.15357101,1.188570976,1.128571033,1.156429052,1003800,-0.002471437391733722,0.059999943,-0.0028580419999999496,1850200.0,1.1434692994285716,
2002-06-12,1.092857003,1.182142973,1.08928597,1.15357101,1799000,-0.05263135643465944,0.092857003,-0.06071400700000007,1657000.0,1.1383672951428572,
2002-06-13,1.082857013,1.12214303,1.080000043,1.104285955,2567600,-0.009150318818060499,0.042142986999999854,-0.021428942000000006,1580200.0,1.1333673,
2002-06-14,0.986428976,1.085713983,0.980000019,1.082142949,4783800,-0.08904964906941037,0.105713964,-0.09571397300000006,2044800.0,1.1104081528571428,
2002-06-17,0.922142982,1.059285998,0.917856991,1.013571024,4855200,-0.06517042337977708,0.14142900700000005,-0.09142804199999999,2409000.0,1.073265297,
2002-06-18,0.910713971,0.939285994,0.842142999,0.938570976,10808000,-0.012393968422567347,0.09714299500000001,-0.02785700499999999,3757400.0,1.0435714295714285,
2002-06-19,0.951429009,0.996429026,0.892857015,0.911428988,5482400,0.044706723841398066,0.10357201100000002,0.040000021,4471400.0,1.0142857091428572,
2002-06-20,0.957143009,1.039999962,0.949999988,0.97142899,6111000,0.006005702943623348,0.08999997400000004,-0.014285981000000003,5201000.0,0.986224566142857,
2002-06-21,0.979286015,0.989286005,0.947857022,0.982142985,2346400,0.023134480210156294,0.041428982999999975,-0.0028569699999999587,5279200.0,0.9700001392857143,
2002-06-24,0.978570998,1.014286041,0.957143009,0.979286015,2567600,-0.0007301411324657225,0.05714303200000004,-0.0007150169999999845,5279200.0,0.9551021371428572,
2002-06-25,0.964286029,1.007143021,0.947143018,0.988570988,3941000,-0.014597784963171323,0.06000000300000008,-0.02428495899999994,5158800.0,0.951938859,
2002-06-26,0.988570988,0.996429026,0.921428978,0.963571012,2924600,0.025184393706485952,0.07500004800000004,0.024999976000000035,4883000.0,0.9614285741428572,
2002-06-27,0.943570971,1.018571019,0.942857027,1.009286046,3817800,-0.045520268697183286,0.07571399199999995,-0.06571507499999996,3884400.0,0.9661224312857143,
2002-06-28,0.999285996,1.013571024,0.960713983,0.960713983,9234400,0.059046989269872396,0.052857040999999994,0.038572013000000016,4420400.0,0.9729591437142858,
2002-07-01,1.027856946,1.046429038,0.992856979,1.0,4585000,0.028591364348510284,0.05357205900000006,0.027856945999999994,4202400.0,0.9830611347142858,
2002-07-02,1.172857046,1.195000052,1.039286017,1.053570986,9020200,0.14107031193813624,0.15571403499999992,0.11928606000000008,5155800.0,1.0107141391428571,
2002-07-03,1.21428597,1.21428597,1.117856979,1.178570986,4957400,0.035323080627167824,0.09642899100000002,0.03571498399999995,5497200.0,1.0443877065714287,
2002-07-05,1.276429057,1.299286008,1.213570952,1.21428597,2003400,0.05117664910515285,0.08571505599999996,0.06214308700000015,5220400.0,1.0889795677142857,
2002-07-08,1.175714016,1.252143025,1.167857051,1.252143025,1953000,-0.07890375140527706,0.08428597400000015,-0.07642900900000016,5081600.0,1.115714286,1.0749047735333332
2002-07-09,1.16071403,1.196429014,1.114285946,1.174999952,2935800,-0.012758192720226824,0.08214306799999993,-0.014285922000000006,4955600.0,1.146734723,1.0732619066
2002-07-10,1.163571,1.178570986,1.132143021,1.161429048,1554000,0.002461390080724657,0.046427964999999904,0.0021419519999998915,3858400.0,1.1702040092857142,1.0734761733666667
2002-07-11,1.269286036,1.27857101,1.132856965,1.154286027,2529800,0.09085396249992495,0.14571404500000007,0.11500000900000007,3564800.0,1.2046938792857145,1.079000006
2002-07-12,1.207857013,1.279999971,1.207142949,1.27857101,2837800,-0.04839651682735446,0.072857022,-0.07071399700000014,2681600.0,1.2096938745714285,1.0835476059666667
